TITLE,MoSe2
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,26/01/20
TIME,16:29:21
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,   91.5759
LASTX,  754.4042
NPOINTS,    1024
XYDATA
668.2419,174.5
668.8411,174
669.4402,172.5
670.0392,174.5
670.6381,175
671.2368,174.5
671.8354,174.5
672.4338,175
673.0322,172.5
673.6304,174
674.2285,175
674.8265,174
675.4243,173.5
676.0220,174
676.6196,174
677.2171,174.5
677.8145,174
678.4116,173.5
679.0087,174.5
679.6057,174
680.2025,174.5
680.7993,174
681.3958,174.5
681.9923,173.5
682.5886,174.5
683.1848,174
683.7809,173.5
684.3768,174
684.9727,174.5
685.5684,174.5
686.1640,174.5
686.7594,174
687.3547,174.5
687.9500,174
688.5450,172.5
689.1400,174
689.7348,172.5
690.3295,175
690.9241,173
691.5186,175
692.1129,175
692.7070,173.5
693.3011,174
693.8951,173.5
694.4889,174
695.0826,174.5
695.6761,174
696.2696,173.5
696.8629,173.5
697.4561,173.5
698.0492,174.5
698.6422,172
699.2350,173.5
699.8277,175
700.4202,174
701.0127,174.5
701.6050,173.5
702.1972,174
702.7892,173.5
703.3812,174
703.9730,175.5
704.5648,174
705.1563,174
705.7477,173.5
706.3391,173.5
706.9302,174
707.5214,174.5
708.1123,174
708.7031,174
709.2938,175
709.8843,173.5
710.4748,174.5
711.0651,173
711.6553,174.5
712.2454,174.5
712.8353,174.5
713.4252,174.5
714.0149,174.5
714.6044,173.5
715.1939,174.5
715.7832,175.5
716.3724,175
716.9615,173.5
717.5505,174.5
718.1393,174
718.7280,174.5
719.3165,175.5
719.9050,172.5
720.4933,174
721.0815,173
721.6696,174
722.2576,174.5
722.8454,174
723.4331,174
724.0207,172.5
724.6082,173.5
725.1955,173.5
725.7827,174
726.3698,174
726.9567,174.5
727.5436,175.5
728.1303,175
728.7169,175
729.3033,176
729.8897,174
730.4759,174
731.0620,174
731.6479,174
732.2338,175
732.8195,174.5
733.4052,173.5
733.9906,173.5
734.5759,175.5
735.1612,174.5
735.7463,176
736.3312,174.5
736.9161,174.5
737.5009,175.5
738.0854,175
738.6699,175.5
739.2543,175
739.8385,175
740.4226,175.5
741.0066,174
741.5905,175
742.1742,176
742.7578,175
743.3413,175
743.9247,175.5
744.5079,176
745.0911,173.5
745.6741,175.5
746.2570,176
746.8397,175.5
747.4223,175.5
